month,channel,campaign,search_term,impressions,clicks,spend,attributed_revenue,orders
2026-03-01,Amazon,Sponsored Products,professional flat iron,2396,71,71.81,530.22,5
2026-03-01,Amazon,Sponsored Products,curling wand,5954,131,174.53,726.08,5
2026-03-01,Amazon,Sponsored Products,hair straightener brush,4371,47,74.05,273.29,2
2026-03-01,Amazon,Sponsored Products,salon blow dryer,2131,24,47.88,191.81,2
2026-03-01,Amazon,Sponsored Products,fast dry hair dryer,2936,55,45.58,518.37,8
2026-03-01,Amazon,Sponsored Products,diffuser attachment,2614,37,74.18,41.34,1
2026-03-01,Amazon,Sponsored Products,mini flat iron,5555,165,109.04,443.58,9
2026-03-01,Amazon,Sponsored Products,cordless hair straightener,1286,18,28.76,53.55,1
2026-03-01,Amazon,Sponsored Products,round brush blow dry,1074,25,48.82,159.55,2
2026-03-01,Amazon,Sponsored Products,hair dryer for dogs,6174,45,91.47,0,0
2026-03-01,Amazon,Sponsored Products,wig steamer,3014,82,91.79,0,0
2026-03-01,Amazon,Sponsored Products,paint drying gun,6051,42,35.41,0,0
2026-03-01,Amazon,Sponsored Products,industrial heat gun,644,20,40.42,0,0
2026-04-01,Amazon,Sponsored Products,ionic hair dryer,5637,126,85.4,1383.73,10
2026-04-01,Amazon,Sponsored Products,ceramic flat iron,707,20,35.24,325.61,2
2026-04-01,Amazon,Sponsored Products,detangling brush,1561,49,102.29,108.82,2
2026-04-01,Amazon,Sponsored Products,blowout brush,3619,85,117.06,603.07,6
2026-04-01,Amazon,Sponsored Products,titanium flat iron,2279,56,116.4,555.71,5
2026-04-01,Amazon,Sponsored Products,hair dryer brush,1649,39,72.12,371.06,2
2026-04-01,Amazon,Sponsored Products,travel hair dryer,5774,43,82.5,694.44,4
2026-04-01,Amazon,Sponsored Products,professional flat iron,2193,65,65.8,353.33,4
2026-04-01,Amazon,Sponsored Products,curling wand,5454,120,159.93,854.22,7
2026-04-01,Amazon,Sponsored Products,hair straightener brush,3999,43,67.86,128.14,1
2026-04-01,Amazon,Sponsored Products,salon blow dryer,1953,22,43.87,101.69,1
2026-04-01,Amazon,Sponsored Products,fast dry hair dryer,2669,50,41.77,264.24,4
2026-04-01,Amazon,Sponsored Products,diffuser attachment,2402,34,67.98,54.88,1
2026-04-01,Amazon,Sponsored Products,mini flat iron,5117,152,99.92,304.91,5
2026-04-01,Amazon,Sponsored Products,cordless hair straightener,1214,17,26.36,55.21,1
2026-04-01,Amazon,Sponsored Products,round brush blow dry,988,23,44.73,156.27,2
2026-04-01,Amazon,Sponsored Products,hair dryer for dogs,5625,41,83.82,0,0
2026-04-01,Amazon,Sponsored Products,wig steamer,2757,75,84.11,0,0
2026-04-01,Amazon,Sponsored Products,paint drying gun,5475,38,32.45,0,0
2026-04-01,Amazon,Sponsored Products,industrial heat gun,580,18,37.04,0,0
2026-05-01,Amazon,Sponsored Products,ionic hair dryer,6800,152,102.96,2118.22,14
2026-05-01,Amazon,Sponsored Products,ceramic flat iron,848,24,42.49,462.65,3
2026-05-01,Amazon,Sponsored Products,detangling brush,1880,59,123.33,124.32,2
2026-05-01,Amazon,Sponsored Products,blowout brush,4343,102,141.13,1012.08,10
2026-05-01,Amazon,Sponsored Products,titanium flat iron,2767,68,140.34,934.74,7
2026-05-01,Amazon,Sponsored Products,hair dryer brush,1987,47,86.95,335.87,2
2026-05-01,Amazon,Sponsored Products,travel hair dryer,6983,52,99.46,1063.16,6
2026-05-01,Amazon,Sponsored Products,professional flat iron,2665,79,79.34,385.32,4
2026-05-01,Amazon,Sponsored Products,curling wand,6590,145,192.82,1070.38,8
2026-05-01,Amazon,Sponsored Products,hair straightener brush,4836,52,81.81,302.09,2
2026-05-01,Amazon,Sponsored Products,salon blow dryer,2308,26,52.89,108.98,1
2026-05-01,Amazon,Sponsored Products,fast dry hair dryer,3256,61,50.36,480.22,8
2026-05-01,Amazon,Sponsored Products,diffuser attachment,2897,41,81.95,44.11,1
2026-05-01,Amazon,Sponsored Products,mini flat iron,6161,183,120.47,588.71,10
2026-05-01,Amazon,Sponsored Products,cordless hair straightener,1429,20,31.78,63.81,1
2026-05-01,Amazon,Sponsored Products,round brush blow dry,1203,28,53.93,248.87,3
2026-05-01,Amazon,Sponsored Products,hair dryer for dogs,6723,49,101.05,0,0
2026-05-01,Amazon,Sponsored Products,wig steamer,3308,90,101.41,0,0
2026-05-01,Amazon,Sponsored Products,paint drying gun,6628,46,39.12,0,0
2026-05-01,Amazon,Sponsored Products,industrial heat gun,709,22,44.65,0,0
2026-06-01,Amazon,Sponsored Products,ionic hair dryer,5458,122,82.99,1993.71,16
2026-06-01,Amazon,Sponsored Products,ceramic flat iron,707,20,34.24,352.63,2
2026-06-01,Amazon,Sponsored Products,detangling brush,1530,48,99.4,129.8,2
2026-06-01,Amazon,Sponsored Products,blowout brush,3492,82,113.75,665.35,7
2026-06-01,Amazon,Sponsored Products,titanium flat iron,2197,54,113.11,645.67,6
2026-06-01,Amazon,Sponsored Products,hair dryer brush,1606,38,70.08,283,2
2026-06-01,Amazon,Sponsored Products,travel hair dryer,5640,42,80.17,993.52,6
2026-06-01,Amazon,Sponsored Products,professional flat iron,2126,63,63.94,304.52,3
2026-06-01,Amazon,Sponsored Products,curling wand,5317,117,155.41,765.72,5
2026-06-01,Amazon,Sponsored Products,hair straightener brush,3906,42,65.94,134.35,1
2026-06-01,Amazon,Sponsored Products,salon blow dryer,1865,21,42.63,109.42,1
2026-06-01,Amazon,Sponsored Products,fast dry hair dryer,2616,49,40.59,239.02,4
2026-06-01,Amazon,Sponsored Products,diffuser attachment,2331,33,66.05,44.7,1
2026-06-01,Amazon,Sponsored Products,mini flat iron,4949,147,97.1,310.96,5
2026-06-01,Amazon,Sponsored Products,cordless hair straightener,1143,16,25.61,50.21,1
2026-06-01,Amazon,Sponsored Products,round brush blow dry,946,22,43.47,93.1,1
2026-06-01,Amazon,Sponsored Products,hair dryer for dogs,5488,40,81.45,0,0
2026-06-01,Amazon,Sponsored Products,wig steamer,2684,73,81.73,0,0
2026-06-01,Amazon,Sponsored Products,paint drying gun,5331,37,31.53,0,0
2026-06-01,Amazon,Sponsored Products,industrial heat gun,580,18,35.99,0,0
2026-07-01,Amazon,Sponsored Products,ionic hair dryer,5100,114,77.33,1584.17,12
2026-07-01,Amazon,Sponsored Products,ceramic flat iron,636,18,31.91,311.13,2
2026-07-01,Amazon,Sponsored Products,detangling brush,1402,44,92.62,63.26,1
2026-07-01,Amazon,Sponsored Products,blowout brush,3279,77,105.99,654.24,7
2026-07-01,Amazon,Sponsored Products,titanium flat iron,2075,51,105.4,509.53,4
2026-07-01,Amazon,Sponsored Products,hair dryer brush,1479,35,65.3,342.16,2
2026-07-01,Amazon,Sponsored Products,travel hair dryer,5237,39,74.7,693.17,5
2026-07-01,Amazon,Sponsored Products,professional flat iron,1991,59,59.58,392.56,4
2026-07-01,Amazon,Sponsored Products,curling wand,4954,109,144.81,790.22,5
2026-07-01,Amazon,Sponsored Products,hair straightener brush,3627,39,61.44,126.5,1
2026-07-01,Amazon,Sponsored Products,salon blow dryer,1776,20,39.72,91.55,1
2026-07-01,Amazon,Sponsored Products,fast dry hair dryer,2456,46,37.82,293.94,4
2026-07-01,Amazon,Sponsored Products,diffuser attachment,2190,31,61.55,51.18,1
2026-07-01,Amazon,Sponsored Products,mini flat iron,4612,137,90.48,441.63,7
2026-07-01,Amazon,Sponsored Products,cordless hair straightener,1072,15,23.86,48.73,1
2026-07-01,Amazon,Sponsored Products,round brush blow dry,903,21,40.51,196.81,2
2026-07-01,Amazon,Sponsored Products,hair dryer for dogs,5076,37,75.89,0,0
2026-07-01,Amazon,Sponsored Products,wig steamer,2500,68,76.16,0,0
2026-07-01,Amazon,Sponsored Products,paint drying gun,4899,34,29.38,0,0
2026-07-01,Amazon,Sponsored Products,industrial heat gun,548,17,33.54,0,0
